address,chaoxiang,chuzufangshi,ditie,gongnuan,href,huxing,kanfangshijian,louceng,louxing,mianji,shangquan,zhifufangshi,zhuangxiu,zujin
金顶街青年公寓,南,整租,距离地铁金安桥521米,集中供暖,https://bj.5i5j.com/zufang/41474171.html,1室1厅,随时看房,低楼层/16层,塔楼,47,金顶街,押1付6,中装,3200
翠成馨园A区,南,整租,距离地铁欢乐谷景区1092米,自供暖,https://bj.5i5j.com/zufang/41474910.html,2室1厅,随时看房,中楼层/13层,板楼,98.5,欢乐谷,押1付6,精装,6300
绿波漫板,南北,整租,距离地铁慈寿寺360米,自供暖,https://bj.5i5j.com/zufang/41475027.html,3室2厅,随时看房,高楼层/7层,板楼,160,四季青,押2付3,豪装,17500
管庄西里,南北,整租,距离地铁管庄1053米,集中供暖,https://bj.5i5j.com/zufang/41475270.html,2室1厅,电话预约,高楼层/24层,板楼,60,管庄,押2付3,简装,5000
马甸月季园,东南,整租,距离地铁牡丹园595米,集中供暖,https://bj.5i5j.com/zufang/41475540.html,1室1厅,随时看房,顶层/9层,塔楼,47.8,马甸,押2付3,中装,4600
中建国际城,南北,随时看房,0,整租,https://bj.5i5j.com/zufang/41475556.html,2室1厅,顺义其它,高楼层/11层,塔楼,83,0,押1付6,精装,5600
晨欣园,南北,整租,距离地铁角门西241米,集中供暖,https://bj.5i5j.com/zufang/41475666.html,2室1厅,电话预约,中楼层/6层,板楼,67,马家堡,押1付3,精装,5500
和平街十一区,南北,整租,距离地铁和平西桥330米,集中供暖,https://bj.5i5j.com/zufang/41477633.html,2室1厅,随时看房,顶层/6层,板楼,65,和平里,押2付3,精装,6800
玉海园三里,西南,整租,距离地铁玉泉路1374米,集中供暖,https://bj.5i5j.com/zufang/41480303.html,2室1厅,电话预约,高楼层/10层,塔楼,89,玉泉路,押2付3,中装,6500
磨房北里,南北,整租,距离地铁平乐园528米,集中供暖,https://bj.5i5j.com/zufang/41481058.html,2室1厅,随时看房,顶层/6层,板楼,60,北工大,押2付3,中装,6000
民族印刷厂宿舍,南,随时看房,0,整租,https://bj.5i5j.com/zufang/41476758.html,2室1厅,魏公村,顶层/5层,板楼,50.5,距离地铁魏公村773米,押2付3,精装,8300
柏林爱乐二期,西南,整租,距离地铁常营892米,集中供暖,https://bj.5i5j.com/zufang/41477306.html,2室1厅,电话预约,高楼层/24层,板楼,82,管庄,押2付3,精装,7500
黄亭子小区,南北,整租,距离地铁西土城237米,集中供暖,https://bj.5i5j.com/zufang/41478481.html,1室1厅,电话预约,顶层/18层,塔楼,20,北太平庄,押1付3,精装,3600
金泰先锋,东,整租,距离地铁百子湾437米,集中供暖,https://bj.5i5j.com/zufang/41479040.html,1室1厅,电话预约,高楼层/21层,塔楼,70,百子湾,押1付3,精装,7000
青年湖西里,南,整租,距离地铁安德里北街455米,集中供暖,https://bj.5i5j.com/zufang/41479636.html,1室1厅,电话预约,底层/5层,板楼,20,安定门,押1付3,中装,3900
清乐园,南北,整租,0,集中供暖,https://bj.5i5j.com/zufang/41480318.html,2室1厅,随时看房,中楼层/6层,板楼,70,旧宫,押2付3,精装,4500
清水园,南,整租,距离地铁立水桥1079米,集中供暖,https://bj.5i5j.com/zufang/41480911.html,2室1厅,电话预约,中楼层/7层,板楼,97,立水桥,押2付3,精装,7800
天通苑北一区,东,整租,距离地铁天通苑434米,集中供暖,https://bj.5i5j.com/zufang/41481370.html,2室1厅,随时看房,低楼层/28层,塔楼,85.94,天通苑,押1付3,精装,6000
五芳园,东南,整租,距离地铁八宝山1245米,集中供暖,https://bj.5i5j.com/zufang/41481564.html,1室1厅,随时看房,低楼层/6层,板楼,45,鲁谷,押2付3,精装,3900
天通苑本四区,南北,整租,距离地铁天通苑南1132米,集中供暖,https://bj.5i5j.com/zufang/41482449.html,2室1厅,随时看房,低楼层/6层,板楼,102,天通苑,押2付3,中装,6500
世纪星城,南北,整租,距离地铁果园990米,集中供暖,https://bj.5i5j.com/zufang/41483099.html,6室1厅,电话预约,低楼层/26层,板楼,240,通州北苑,押1付6,精装,10000
怡和世家,南,随时看房,0,整租,https://bj.5i5j.com/zufang/41483538.html,2室1厅,赵公口,高楼层/18层,板楼,70,距离地铁宋家庄930米,押2付3,精装,6000
双榆树北里,南北,整租,距离地铁人民大学545米,集中供暖,https://bj.5i5j.com/zufang/41484415.html,2室1厅,随时看房,低楼层/6层,板楼,59.65,双榆树,押1付3,精装,8500
三义庙,南,整租,距离地铁人民大学825米,集中供暖,https://bj.5i5j.com/zufang/41485162.html,1室1厅,随时看房,顶层/6层,板楼,45,苏州桥,押2付3,精装,6200
龙湖大方居,南北,整租,0,集中供暖,https://bj.5i5j.com/zufang/41485213.html,2室1厅,电话预约,中楼层/34层,板楼,90,九棵树(家乐福),押2付3,精装,4500
合顺家园,南北,整租,距离地铁新宫1066米,自供暖,https://bj.5i5j.com/zufang/41485295.html,2室1厅,电话预约,高楼层/18层,板楼,88,新宫,押2付3,精装,5800
庄维花园一期,西,整租,距离地铁七里庄406米,集中供暖,https://bj.5i5j.com/zufang/41484334.html,2室1厅,电话预约,低楼层/22层,塔楼,86.78,七里庄,押2付3,中装,6300
柏林爱乐二期,南北,整租,距离地铁常营892米,集中供暖,https://bj.5i5j.com/zufang/41486867.html,2室1厅,随时看房,低楼层/11层,板楼,103,管庄,押2付3,精装,8500
恩济里,南北,整租,距离地铁慈寿寺655米,集中供暖,https://bj.5i5j.com/zufang/41488403.html,2室1厅,电话预约,中楼层/6层,板楼,60,定慧寺,押1付3,中装,6500
玲珑花园,南北,整租,距离地铁慈寿寺538米,集中供暖,https://bj.5i5j.com/zufang/41497889.html,4室2厅,随时看房,中楼层/4层,板楼,186,四季青,押2付3,精装,22000
正邦嘉园二期,东北,整租,距离地铁刘家窑348米,自供暖,https://bj.5i5j.com/zufang/41500968.html,1室1厅,电话预约,中楼层/24层,板楼,51.6,刘家窑,押2付3,精装,4700
东城区东直门外大街,南,整租,距离地铁东直门85米,集中供暖,https://bj.5i5j.com/zufang/41502033.html,2室1厅,电话预约,高楼层/16层,板塔结合,60,东直门,押1付6,简装,6800
科源小区,南,整租,距离地铁中关村446米,集中供暖,https://bj.5i5j.com/zufang/41502700.html,2室1厅,电话预约,底层/4层,板楼,64,五道口,押2付3,中装,8000
赵公口小区,南,整租,距离地铁刘家窑838米,集中供暖,https://bj.5i5j.com/zufang/41510690.html,1室1厅,随时看房,高楼层/6层,板楼,60,木樨园,押2付3,精装,4500
慧谷阳光,南北,整租,距离地铁望京东553米,集中供暖,https://bj.5i5j.com/zufang/41429551.html,3室1厅,随时看房,低楼层/11层,塔楼,150,望京,押1付3,精装,15000
东南小区,南,整租,距离地铁海淀黄庄591米,集中供暖,https://bj.5i5j.com/zufang/41431671.html,2室1厅,随时看房,底层/5层,板楼,54.6,中关村,押2付3,精装,9500
金隅景和园六区,南,整租,0,自供暖,https://bj.5i5j.com/zufang/41463642.html,2室1厅,随时看房,高楼层/21层,板楼,80,东坝,押2付3,中装,5800
恬心家园,南,整租,距离地铁广安门内1218米,自供暖,https://bj.5i5j.com/zufang/41464524.html,1室1厅,随时看房,低楼层/18层,塔楼,65,白纸坊,押2付3,精装,6500
交道口南大街胡同区,北,整租,距离地铁南锣鼓巷730米,自供暖,https://bj.5i5j.com/zufang/41464828.html,1室1厅,随时看房,底层/1层,板楼,25,交道口,押2付3,简装,5500
满庭芳园,西南,整租,距离地铁人民大学835米,集中供暖,https://bj.5i5j.com/zufang/41464986.html,3室1厅,电话预约,中楼层/24层,塔楼,115,双榆树,押2付3,简装,14000
明天第一城5号院,南北,整租,距离地铁立水桥565米,集中供暖,https://bj.5i5j.com/zufang/41466054.html,2室1厅,随时看房,中楼层/6层,板楼,83.62,立水桥,押1付3,精装,7300
沿海赛洛城七期,西,整租,距离地铁百子湾867米,集中供暖,https://bj.5i5j.com/zufang/41466495.html,1室1厅,随时看房,高楼层/18层,板楼,65.71,百子湾,押2付3,简装,7300
东王庄小区,东西,整租,距离地铁清华东路西口419米,集中供暖,https://bj.5i5j.com/zufang/41431460.html,2室1厅,随时看房,顶层/6层,板楼,68,五道口,押1付3,精装,7300
珠江丽景家园,南北,整租,0,集中供暖,https://bj.5i5j.com/zufang/41463776.html,2室1厅,电话预约,中楼层/10层,板楼,74,潞苑,押1付3,中装,4200
西直门南大街8号,东,电话预约,0,整租,https://bj.5i5j.com/zufang/41464281.html,2室1厅,官园,低楼层/22层,板楼,65,0,押2付3,中装,8000
宋家庄家园三区,西,整租,距离地铁宋家庄178米,自供暖,https://bj.5i5j.com/zufang/41464290.html,2室1厅,电话预约,顶层/29层,塔楼,69,刘家窑,押2付3,中装,6500
新明胡同,南,整租,距离地铁积水潭1291米,集中供暖,https://bj.5i5j.com/zufang/41464649.html,2室1厅,电话预约,低楼层/18层,板楼,59.6,德胜门,押1付3,中装,7800
宣武门东大街,南北,整租,距离地铁和平门25米,集中供暖,https://bj.5i5j.com/zufang/41466177.html,2室1厅,电话预约,中楼层/11层,板楼,55,宣武门,押2付3,精装,6500
通景园,东西,随时看房,0,整租,https://bj.5i5j.com/zufang/41466595.html,2室1厅,九棵树(家乐福),低楼层/26层,板楼,90,0,押2付3,中装,4300
永乐小区,南,整租,距离地铁八宝山842米,集中供暖,https://bj.5i5j.com/zufang/41467698.html,1室1厅,随时看房,高楼层/6层,板楼,50,鲁谷,押2付3,中装,4000
半岛国际公寓,西,整租,距离地铁太阳宫291米,集中供暖,https://bj.5i5j.com/zufang/41467826.html,1室0厅,随时看房,低楼层/18层,板楼,43,太阳宫,押1付3,精装,6500
龙跃苑东四区,南北,整租,距离地铁霍营418米,自供暖,https://bj.5i5j.com/zufang/41468549.html,2室2厅,电话预约,高楼层/6层,板楼,97,回龙观,押2付3,精装,7000
翠微南里,南,整租,距离地铁万寿路620米,集中供暖,https://bj.5i5j.com/zufang/41469108.html,2室1厅,随时看房,中楼层/6层,板楼,60,公主坟,押2付3,精装,6500
秀水园小区,南北,整租,距离地铁金台路461米,集中供暖,https://bj.5i5j.com/zufang/41469256.html,3室1厅,电话预约,中楼层/14层,板塔结合,77.29,团结湖,押2付3,精装,7500
畅清园小区,南北,整租,距离地铁林萃桥854米,集中供暖,https://bj.5i5j.com/zufang/41469369.html,2室1厅,电话预约,高楼层/7层,板楼,82.53,奥林匹克公园,押1付3,精装,7000
安贞里二区,南北,整租,距离地铁安贞门586米,集中供暖,https://bj.5i5j.com/zufang/41470160.html,2室1厅,电话预约,高楼层/6层,板楼,50,安贞,押2付3,精装,8200
怡锦园,东南,整租,距离地铁科怡路621米,集中供暖,https://bj.5i5j.com/zufang/41470877.html,2室1厅,电话预约,高楼层/30层,板楼,101,科技园区,押2付3,精装,8000
丰台南路116号院,南,整租,距离地铁丰台南路442米,集中供暖,https://bj.5i5j.com/zufang/41472317.html,3室2厅,随时看房,高楼层/16层,板塔结合,132,看丹桥,押1付3,精装,10000
德茂小区,南,整租,0,集中供暖,https://bj.5i5j.com/zufang/41489786.html,2室1厅,电话预约,中楼层/6层,板楼,60,大兴其它,押2付3,精装,3700
富强西里,南北,整租,距离地铁清源路461米,集中供暖,https://bj.5i5j.com/zufang/41490058.html,2室1厅,电话预约,底层/6层,板楼,55.56,黄村中,押2付3,精装,3500
城华园,南北,整租,距离地铁六道口1228米,集中供暖,https://bj.5i5j.com/zufang/41490395.html,1室1厅,随时看房,中楼层/27层,塔楼,66,学院路,押2付3,精装,6500
管庄西里,东,整租,距离地铁管庄1053米,集中供暖,https://bj.5i5j.com/zufang/41490928.html,1室1厅,电话预约,低楼层/6层,板楼,50,管庄,押2付3,简装,3500
万年花城四期,东西,整租,距离地铁首经贸334米,集中供暖,https://bj.5i5j.com/zufang/41491213.html,2室1厅,随时看房,中楼层/11层,板楼,90,玉泉营,押2付3,精装,6900
富丰园,南北,整租,距离地铁丰台南路1223米,集中供暖,https://bj.5i5j.com/zufang/41491767.html,2室1厅,随时看房,中楼层/6层,板楼,61,看丹桥,押2付3,中装,5000
保利茉莉公馆,东,整租,距离地铁高米店北208米,集中供暖,https://bj.5i5j.com/zufang/41492211.html,5室1厅,电话预约,底层/26层,板楼,280,黄村北,押2付3,精装,30000
海特花园,南北,整租,距离地铁苹果园1162米,集中供暖,https://bj.5i5j.com/zufang/41492413.html,1室1厅,随时看房,低楼层/6层,板楼,65,苹果园,押1付3,精装,4300
安华西里二区,南北,整租,距离地铁安华桥474米,集中供暖,https://bj.5i5j.com/zufang/41492510.html,2室1厅,随时看房,中楼层/6层,板楼,70,安贞,押1付3,豪装,8500
西便门外东大街,东南,整租,距离地铁长椿街731米,集中供暖,https://bj.5i5j.com/zufang/41492560.html,1室1厅,电话预约,中楼层/7层,塔楼,43,木樨地,押1付3,中装,5800
长河湾,南,整租,距离地铁西直门768米,集中供暖,https://bj.5i5j.com/zufang/41493585.html,2室1厅,随时看房,低楼层/16层,板楼,86,西直门,押2付3,精装,11500
空港吉祥花园,南,整租,距离地铁花梨坎461米,集中供暖,https://bj.5i5j.com/zufang/41493624.html,2室1厅,随时看房,低楼层/9层,板楼,75,后沙峪,押1付3,精装,5500
高楼金第,南,随时看房,0,整租,https://bj.5i5j.com/zufang/41494109.html,1室0厅,土桥,低楼层/19层,其他,39,距离地铁土桥944米,押1付3,精装,2900
车站北里,南北,随时看房,0,整租,https://bj.5i5j.com/zufang/41494228.html,2室1厅,黄村火车站,高楼层/6层,板楼,72,距离地铁黄村火车站378米,押2付3,精装,3700
新华社宿舍,南北,电话预约,0,整租,https://bj.5i5j.com/zufang/41494265.html,2室1厅,公主坟,高楼层/12层,板楼,70,距离地铁军事博物馆274米,押1付12,精装,7500
天通苑东一区,西北,随时看房,0,整租,https://bj.5i5j.com/zufang/41494489.html,3室1厅,天通苑,中楼层/32层,塔楼,150,0,押1付3,精装,7300
双榆树西里,南,整租,距离地铁人民大学327米,集中供暖,https://bj.5i5j.com/zufang/41481631.html,2室1厅,随时看房,低楼层/16层,塔楼,56.9,双榆树,押1付3,中装,8500
城市经典,南北,整租,距离地铁科怡路369米,集中供暖,https://bj.5i5j.com/zufang/41481881.html,4室2厅,电话预约,中楼层/6层,板楼,180,科技园区,押2付3,中装,12800
建功北里二区,南北,整租,距离地铁广安门内1070米,集中供暖,https://bj.5i5j.com/zufang/41481908.html,2室1厅,随时看房,中楼层/6层,板楼,62.87,白纸坊,押2付3,精装,6800
上东上品,东南,整租,0,自供暖,https://bj.5i5j.com/zufang/41482672.html,1室1厅,电话预约,中楼层/12层,板楼,57,东坝,押2付3,中装,4200
东亚瑞晶苑,南,随时看房,0,整租,https://bj.5i5j.com/zufang/41482675.html,2室1厅,马驹桥,中楼层/25层,板楼,80,0,押1付3,中装,4000
天通苑西三区,南北,整租,距离地铁天通苑327米,集中供暖,https://bj.5i5j.com/zufang/41482997.html,2室1厅,电话预约,中楼层/13层,板楼,98,天通苑,押2付3,中装,6300
八里庄北里,南,整租,距离地铁十里堡604米,集中供暖,https://bj.5i5j.com/zufang/41483363.html,2室1厅,电话预约,中楼层/18层,塔楼,79.36,石佛营,押2付3,精装,7000
双榆树北路,南北,整租,距离地铁知春里380米,集中供暖,https://bj.5i5j.com/zufang/41483403.html,2室1厅,随时看房,高楼层/6层,板楼,51.6,双榆树,押1付3,中装,8300
阳光100国际公寓,南,整租,距离地铁大望路391米,集中供暖,https://bj.5i5j.com/zufang/41483453.html,1室1厅,随时看房,低楼层/33层,塔楼,48,CBD,押1付3,精装,9500
弘善家园,东南,整租,距离地铁十里河691米,自供暖,https://bj.5i5j.com/zufang/41483939.html,2室1厅,随时看房,高楼层/29层,塔楼,75,潘家园,押1付3,精装,7000
育新花园,南,整租,距离地铁育新418米,集中供暖,https://bj.5i5j.com/zufang/41484254.html,1室1厅,电话预约,顶层/6层,板楼,51,西三旗,押2付3,精装,4700
北苑家园望春园,西南,整租,距离地铁立水桥南630米,集中供暖,https://bj.5i5j.com/zufang/41484459.html,3室1厅,随时看房,底层/25层,塔楼,134.8,北苑,押1付3,精装,10000
七贤村,南,整租,距离地铁花园桥501米,集中供暖,https://bj.5i5j.com/zufang/41485469.html,1室1厅,电话预约,低楼层/6层,板楼,43.9,紫竹桥,押2付3,简装,5000
城南嘉园益明园,南,整租,距离地铁公益西桥326米,自供暖,https://bj.5i5j.com/zufang/41485542.html,1室1厅,随时看房,低楼层/15层,板楼,45,马家堡,押1付3,精装,5500
三里河一区5号院,东北,电话预约,0,整租,https://bj.5i5j.com/zufang/41485685.html,1室1厅,月坛,低楼层/19层,塔楼,57,距离地铁木樨地1038米,押2付3,精装,9000
北纬40度二期,南北,整租,距离地铁来广营427米,集中供暖,https://bj.5i5j.com/zufang/41474780.html,2室1厅,随时看房,中楼层/25层,板楼,95,望京,押2付3,精装,9500
清源佳园,南,整租,距离地铁清源路1383米,自供暖,https://bj.5i5j.com/zufang/41474900.html,1室1厅,电话预约,高楼层/18层,板楼,50,黄村中,押1付3,精装,3500
盛德紫阙,南,随时看房,0,整租,https://bj.5i5j.com/zufang/41475467.html,1室1厅,安定门,高楼层/20层,塔楼,110,距离地铁和平里北街827米,押2付3,豪装,13800
正阳小区,南,整租,距离地铁丰台东大街760米,集中供暖,https://bj.5i5j.com/zufang/41475859.html,1室1厅,电话预约,高楼层/6层,板楼,55,北大地,押1付3,精装,4800
草桥欣园三区,南北,整租,距离地铁草桥521米,集中供暖,https://bj.5i5j.com/zufang/41475902.html,2室1厅,随时看房,高楼层/6层,板楼,70,草桥,押2付3,中装,5600
雅丽世居,南北,整租,距离地铁果园384米,集中供暖,https://bj.5i5j.com/zufang/41475940.html,2室1厅,随时看房,高楼层/11层,板楼,116,果园,押2付3,豪装,6000
东罗圈胡同,南,整租,距离地铁灯市口554米,集中供暖,https://bj.5i5j.com/zufang/41476053.html,1室1厅,电话预约,高楼层/6层,板楼,43,金宝街,押2付3,中装,6500
东四西大街,东北,整租,距离地铁东四141米,集中供暖,https://bj.5i5j.com/zufang/41476364.html,2室1厅,电话预约,中楼层/6层,板楼,63,灯市口,押1付3,精装,8800
山水LAVIE,南西北,整租,距离地铁北苑633米,集中供暖,https://bj.5i5j.com/zufang/41477104.html,3室2厅,随时看房,高楼层/12层,板楼,162.37,北苑,押1付3,豪装,14300
地质大学,南,整租,距离地铁五道口848米,集中供暖,https://bj.5i5j.com/zufang/41477211.html,1室1厅,电话预约,中楼层/9层,板楼,50,五道口,押2付3,精装,6600
旭日嘉园,东南,整租,距离地铁角门西211米,集中供暖,https://bj.5i5j.com/zufang/41477321.html,3室2厅,随时看房,中楼层/24层,塔楼,123,马家堡,押2付3,精装,12000
盛德紫阙,南,电话预约,0,整租,https://bj.5i5j.com/zufang/41477455.html,2室1厅,安定门,高楼层/20层,塔楼,68.7,距离地铁和平里北街827米,押1付3,精装,22000
龙泽苑西区,南北,整租,距离地铁龙泽271米,集中供暖,https://bj.5i5j.com/zufang/41477797.html,2室2厅,随时看房,中楼层/6层,板楼,114,龙泽,押2付3,精装,8000
空港吉祥花园,南,整租,距离地铁花梨坎461米,集中供暖,https://bj.5i5j.com/zufang/41478006.html,1室1厅,电话预约,高楼层/9层,塔楼,52,后沙峪,押1付3,精装,4300
格瑞雅居,南,整租,距离地铁果园897米,集中供暖,https://bj.5i5j.com/zufang/41478218.html,2室1厅,随时看房,低楼层/13层,板楼,58,九棵树(家乐福),押1付3,中装,4500
海格国际大厦,北,整租,距离地铁宣武门540米,集中供暖,https://bj.5i5j.com/zufang/41478278.html,1室1厅,电话预约,中楼层/19层,板楼,50.01,宣武门,押2付3,精装,6800
玺萌苑,西,整租,距离地铁角门西628米,自供暖,https://bj.5i5j.com/zufang/41468438.html,3室1厅,电话预约,底层/22层,板楼,155,草桥,押2付3,精装,12000
润枫德尚苑,南北,整租,距离地铁安立路322米,集中供暖,https://bj.5i5j.com/zufang/41468664.html,4室2厅,随时看房,中楼层/21层,板楼,226.16,亚运村,押1付3,中装,30000
世纪星家园,北,整租,距离地铁方庄946米,集中供暖,https://bj.5i5j.com/zufang/41468737.html,1室1厅,随时看房,中楼层/29层,塔楼,41,宋家庄,押2付3,精装,5000
安宁里小区,南北,整租,0,集中供暖,https://bj.5i5j.com/zufang/41468739.html,1室1厅,电话预约,中楼层/6层,板楼,48,清河,押1付3,中装,5000
晴波园,南北,整租,距离地铁火器营347米,集中供暖,https://bj.5i5j.com/zufang/41469148.html,4室1厅,随时看房,底层/12层,板楼,173.71,世纪城,押1付3,豪装,20000
海淀路小区,南北,整租,距离地铁中关村280米,集中供暖,https://bj.5i5j.com/zufang/41469271.html,2室1厅,电话预约,中楼层/6层,板楼,53,圆明园,押2付3,中装,8000
北苑家园绣菊园南区,东南,整租,距离地铁立水桥南816米,集中供暖,https://bj.5i5j.com/zufang/41469419.html,2室1厅,非工作日,中楼层/25层,塔楼,100,北苑,押2付3,精装,8300
怡海花园恒泰园,南,整租,距离地铁科怡路348米,集中供暖,https://bj.5i5j.com/zufang/41469625.html,2室1厅,随时看房,底层/28层,塔楼,118,科技园区,押1付3,中装,11500
铁东小区,东,整租,距离地铁军事博物馆829米,集中供暖,https://bj.5i5j.com/zufang/41469795.html,2室1厅,电话预约,中楼层/11层,板楼,75,军博,押2付3,精装,8000
中海御鑫阁,南,整租,距离地铁郭公庄460米,集中供暖,https://bj.5i5j.com/zufang/41470130.html,1室1厅,随时看房,中楼层/25层,板楼,38,科技园区,押2付3,精装,4600
郎峰,南北,整租,距离地铁通州北苑431米,自供暖,https://bj.5i5j.com/zufang/41470438.html,2室1厅,电话预约,底层/16层,板楼,58,通州北苑,押2付3,简装,9500
华远铭悦,东北,整租,距离地铁土桥1024米,集中供暖,https://bj.5i5j.com/zufang/41470445.html,2室1厅,随时看房,顶层/28层,板楼,78,临河里,押2付3,精装,4000
三环新城7号院,南北,整租,距离地铁丰台站451米,自供暖,https://bj.5i5j.com/zufang/41470598.html,2室1厅,随时看房,高楼层/24层,板楼,100,玉泉营,押1付6,精装,6500
和义东里,南,整租,0,集中供暖,https://bj.5i5j.com/zufang/41471107.html,1室1厅,电话预约,中楼层/6层,板楼,60,和义,押1付12,中装,3300
曦景长安,南北,整租,距离地铁古城405米,集中供暖,https://bj.5i5j.com/zufang/41471583.html,2室1厅,随时看房,中楼层/16层,塔楼,112.35,古城,押2付3,中装,7000
幸福东区,南北,整租,距离地铁顺义377米,集中供暖,https://bj.5i5j.com/zufang/41471620.html,2室1厅,随时看房,底层/6层,板楼,64,顺义城,押2付3,简装,3500
畅柳园,南,整租,距离地铁陶然亭857米,集中供暖,https://bj.5i5j.com/zufang/41510508.html,1室1厅,随时看房,中楼层/14层,板楼,53.79,陶然亭,押2付3,精装,6100
上京新航线,南北,整租,距离地铁东湖渠206米,集中供暖,https://bj.5i5j.com/zufang/41510799.html,2室2厅,电话预约,顶层/26层,板楼,115,望京,押1付3,精装,13000
永定路西里,南北,整租,距离地铁玉泉路923米,集中供暖,https://bj.5i5j.com/zufang/41457057.html,2室1厅,随时看房,低楼层/12层,板楼,72.5,五棵松,押2付3,简装,4000
福顺里小区,南,整租,距离地铁丰台东大街1400米,集中供暖,https://bj.5i5j.com/zufang/41463620.html,1室1厅,电话预约,顶层/18层,板楼,50,北大地,押2付3,中装,4000
三环新城7号院,南北,整租,距离地铁丰台站451米,自供暖,https://bj.5i5j.com/zufang/41463653.html,2室1厅,随时看房,中楼层/24层,板楼,100,玉泉营,押2付3,精装,6600
东土城路13号院,南北,整租,距离地铁柳芳668米,集中供暖,https://bj.5i5j.com/zufang/41464119.html,2室1厅,随时看房,低楼层/7层,板楼,72,和平里,押2付3,精装,8500
